小麦,AA01001
面粉,AA01002
标准粉,AA01002001
特一粉,AA01002002
特二粉,AA01002003
小麦制品,AA01003
小麦副产品,AA01004
稻谷,AA01005
早籼稻,AA01005001
晚籼稻,AA01005002
大米,AA01006
籼米(晚籼米),AA01006001
粳米(普通),AA01006002
糯米,AA01006003
粳糯米,AA01006004
大米制品,AA01007
稻谷副产品,AA01008
玉米,AA01009
玉米制品,AA01010
玉米副产品,AA01011
谷子,AA01012
高粱,AA01013
大麦,AA01014
黑麦,AA01015
荞麦,AA01016
燕麦,AA01017
薏米,AA01018
糜子,AA01019
大豆,AA02001
绿豆,AA02002
红小豆,AA02003
蚕豆,AA02004
豌豆,AA02005
芸豆(英国红),AA02006
扁豆,AA02007
鹰嘴豆,AA02008
甘薯,AA03001
木薯,AA03002
其它粮食,AA99999
花生,AB01001
花生仁,AB01001001
油菜籽,AB01002
葵花籽,AB01003
黑大片葵花籽,AB01003001
美二(葵花籽),AB01003002
DK119(美葵),AB01003003
RH3708(美葵),AB01003004
RH3148(美葵),AB01003005
RH118(美葵),AB01003006
S33(油葵),AB01003007
精选葵仁,AB01003008
黑小片籽瓜子,AB01003009
黑中片籽瓜子,AB01003010
红小片籽瓜子,AB01003011
西葫芦白瓜籽(炒货),AB01003012
西葫芦白瓜籽(剥仁),AB01003013
面葫芦白瓜籽,AB01003014
无壳葫芦籽,AB01003015
菠菜籽,AB01003016
星火葵花子,AB01003017
棉籽,AB01004
芝麻(白芝麻),AB01005
红花籽,AB01006
芥菜籽,AB01007
亚麻籽,AB01008
油棕仁,AB01009
大麻籽,AB01010
油茶子,AB01011
油橄榄,AB01012
牛油树果,AB01013
蓖麻籽,AB02001
油桐籽,AB02002
甘蔗,AD01001
大白菜,AE01001
甘蓝,AE01002
洋白菜,AE01002001
油菜,AE01003
小白菜,AE01004
生菜,AE01005
菠菜,AE01006
木耳菜,AE01007
茼蒿,AE01008
苋菜,AE01009
香菜,AE01010
油麦菜,AE01011
芥菜,AE01012
空心菜,AE01013
菊苣,AE01014
莼菜,AE01015
荠菜,AE01016
折耳根(鱼腥草),AE01017
蕨菜,AE01018
韭菜,AE01019
