"'116.921016666666666666666666666666666667,39.6629166666666666666666666666666666667'",'天津大沙河','天津武清大沙河批发市场','265','http://www.tjdsh.com'
'null','天津大白庄','天津宝坻大白庄水产品交易市场','9','null'
'null','天津独流','天津静海县独流蔬菜产地批发市场','0','null'
'null','河北固安','河北固安京南刘园蔬菜批发市场','0','http://'
'null','冀辛集禽蛋','河北辛集市畜牧局','0','null'
"'119.545925,39.953575'",'秦皇岛海阳','河北秦皇岛海阳农副产品批发市场','0','http://'
"'118.886083333333333333333333333333333333,39.4378361111111111111111111111111111111'",'冀乐亭果菜','乐亭县冀东果菜批发市场','43','http://www.jdgjncp.com'
"'115.3127062918,36.5415475765'",'冀馆陶金凤','邯郸市(馆陶)金凤禽蛋农贸批发市场','24','http://www.hbjfqdsc.com'
'null','河北高邑','河北石家庄市高邑县蔬菜批发市场','0','null'
"'118.990180555555555555555555555555555556,39.5803638888888888888888888888888888889'",'秦皇岛昌黎','河北秦皇岛昌黎农副产品批发市场','0','http://'
'null','河北大厂','河北大厂回族自治县夏垫牛羊批发市场','0','null'
'null','冀青县盘古','河北青县盘古蔬菜菜批发市场','0','null'
"'114.927627,36.34166'",'冀魏县天仙','河北魏县天仙果菜批发交易市场','0','http://'
'null','河北赵县','河北赵县蔬菜批发市场','98','null'
"'115.680197,38.287724'",'河北饶阳','河北饶阳县瓜菜果品交易市场服务有限公司','0','http://'
"'115.533072222222222222222222222222222222,40.4012638888888888888888888888888888889'",'冀怀来京西','河北省怀来县京西果菜批发市场有限责任公司','0','http://www.jxgcsc.com'
"'116.7989,39.9427'",'河北三河','河北三河市建兴农副产品批发市场','0','http://'
"'118.2141694,39.617052'",'唐山荷花坑','河北唐山市荷花坑市场经营管理有限公司','23','http://'
"'115.344086111111111111111111111111111111,37.2091805555555555555555555555555555556'",'冀威县瓜菜','威县冀南瓜菜有限公司','0','http://wxjngc.hb.1065m.com/'
'null','河北大辛阁','河北永清县大辛阁瓜果蔬菜批发市场','0','null'
'null','青河沿果菜','河北唐山市滦南县姚王庄青河沿果菜批发市场','0','http://'
'null','河北清苑','河北清苑县牛庄村无公害蔬菜批发市场','0','null'
'null','唐山安各庄','河北唐山市滦南县安各庄镇鑫隆果菜批发中心','0','null'
'null','冀永年中原','河北永年县中原农副产品中心批发市场','0','null'
'null','河北无极','河北无极县王村鲜活农产品交易市场','0','null'
'null','晋太谷畜牧','山西太谷县畜牧市场','0','null'
"'111.214922222222222222222222222222222222,35.5974194444444444444444444444444444444'",'晋新绛蔬菜','山西新绛县蔬菜批发市场','0','http://'
"'110.9569,35.0488'",'晋运城蔬菜','运城蔬菜批发市场','34','http://'
'null','晋应县蔬菜','山西应县南河种蔬菜批发市场','35','null'
'null','晋运城果品','山西运城果品中心市场','0','http://'
"'111.498322222222222222222222222222222222,36.06565'",'晋临汾尧丰','山西临汾尧丰农副产品批发市场','0','http://'
'null','晋襄汾市场','山西襄汾县农副产品批发市场','25','http://'
"'86.5806333,42.0764305555'",'新焉耆光明','新疆焉耆县光明农副产品综合批发市场','0','http://'
"'85.695903,46.087856'",'新疆乌尔禾','新疆兵团第七师137团绿衡蔬菜瓜果批发市场','0','http://'
'null','西沙窝市场','北京市西沙窝农副产品批发市场有限公司','0','http://'
'null','鄂襄樊蔬菜','湖北襄樊市蔬菜批发市场','0','null'
"'86.1423009602,41.7582292758'",'库尔勒孔雀','新疆兵团农二师库尔勒市孔雀农副产品综合批发市场','0','http://'
"'120.317375,31.6118472222222222222222222222222222222'",'无锡天鹏','无锡天鹏菜篮子工程有限公司','55','http://www.cffm.com/'
"'115.990119444444444444444444444444444444,29.7325111111111111111111111111111111111'",'赣南方粮食','江西南方粮食交易市场','3','http://www.ex-grain.cn'
"'114.697397,41.1576778'",'张北蔬菜城','河北张家口市京北农产品综合市场','0','http://www.zbscc.com'
"'111.7692,37.1353805555555555555555555555555555556'",'晋孝义绿海','孝义市绿海蔬菜批发销售有限公司','0','http://'
'null','晋右玉玉羊','山西右玉玉羊批发市场','19','http://'
'null','晋榆次东阳','山西榆次东阳镇蔬菜批发市场','0','null'
'null','晋五台东冶','山西五台县东冶镇蔬菜瓜果批发市场','0','http://'
'null','晋和顺肉牛','山西和顺阳光肉牛交易市场','0','null'
"'111.796622222222222222222222222222222222,37.2714638888888888888888888888888888889'",'晋汾阳晋阳','山西汾阳市晋阳农副产品批发市场','0','http://'
'null','晋朔州大运','山西省朔州大运果菜批发市场有限公司','0','http://'
'null','晋稷山市场','山西稷山县格富达农产品批发市场','0','http://'
"'118.92729,42.2571861'",'赤峰西城','内蒙赤峰西城市场','0','http://'
'null','通辽余粮堡','内蒙通辽市余粮堡牲畜交易市场','43','null'
'null','蒙临河蔬菜','内蒙临河市四季表蔬菜瓜果农副产品批发市场','0','null'
'null','蒙察右中旗','内蒙乌兰察布市察右中旗蔬菜批发市场','0','null'
'null','蒙兴和北兴','内蒙古乌兰察布市兴和县北兴蔬菜批发市场','0','null'
'null','蒙四子王旗','内蒙古乌兰察布市四子王旗北方马铃薯批发市场','0','null'
'null','蒙三段地','内蒙古鄂尔多斯市三段地镇农畜产品交易市场','0','null'
'null','辽宁南台','辽宁海城市南台镇禽蛋专业批发市场','0','null'
'null','北镇窟隆台','辽宁北宁市窟窿台蔬菜批发市场','0','http://'
'null','辽宁葫芦岛','辽宁葫芦岛市蔬菜批发市场','0','null'
'null','大连普兰店','辽宁大连普兰店市久寿河蔬菜批发市场','0','null'
'null','辽中农产品','辽宁辽中县茨于坨农产品批发市场','0','null'
'null','辽宁凌源','辽宁省凌源市八里堡蔬菜果品批发市场有限公司','0','http://'
'null','辽宁北票','辽宁北票蔬菜批发市场','0','http://'
"'122.9142483011,41.1057992502'",'辽宁鞍山','辽宁鞍山宁远农产品批发市场','0','http://'
'null','辽宁大石桥','辽宁大石桥博洛铺蔬菜果品批发市场','46','null'
'null','辽阳万隆','辽宁辽阳市万隆蔬菜批发大市场','0','null'
'null','吉林白城','吉林白城蔬菜批发市场','0','null'
'null','吉林四季春','吉林松原市四季春农贸批发市场','0','null'
'null','黑龙江庆安','黑龙江庆安绿色特色食品批发市场','0','null'
'null','川广元川北','四川广元川北畜产品批发市场','0','null'
'null','贵州罗甸','贵州罗甸蔬菜批发市场','0','null'
'null','贵州关岭','贵州关岭断桥反季节蔬菜批发市场','0','null'
"'120.922525,30.8242638'",'浙嘉善浙北','浙江嘉善曹安农产品批发有限公司','0','http://'
'null','浙江黄岩','浙江黄岩柑桔果品市场','41','null'
"'120.05419444,29.308261'",'义乌农贸城','浙江义乌农村经济发展有限公司','0','http://'
'null','浙江农都','浙江农都农副产品批发交易市场','46','http://'
'null','浙江石浦','浙江象山县石浦镇水产品批发市场','0','null'
'null','浙南水产品','浙江温州平阳县浙南水产品批发交易市场','0','null'
'null','浙南农产品','浙江温州浙南农副产品批发市场','0','null'
'null','浙江庆元','浙江庆元县香菇市场','0','null'
'null','浙江嵊州','浙江嵊州市浙东农副产品批发市场','0','null'
'null','浙江长兴','浙江长兴农副产品综合批发市场','0','null'
'null','浙江舟山','浙江舟山沈家门水产品批发市场','0','null'
'null','浙皖农贸城','浙江杭州临安市浙皖农贸城','0','null'
'null','石狮农产品','福建石狮农副产品批发市场','0','null'
'null','闽龙岩花生','福建龙岩花生专业批发市场','0','null'
'null','福建龙岩','福建龙岩市农副产品批发市场','0','null'
"'117.110227777777777777777777777777777778,28.9624888888888888888888888888888888889'",'江西乐平','江西乐平市蔬菜批发大市场','0','http://'
'null','江西西商苑','江西玉山西商苑农贸市场','0','null'
"'115.4418891254,27.3181686784'",'江西永丰','江西永丰县农产品批发中心市场','0','http://'
'null','江西上饶','江西上饶市蔬菜批发大市场','22','null'
"'114.903205555555555555555555555555555556,25.8385583333333333333333333333333333333'",'赣州南北','江西赣州南北大市场','0','http://'
'null','江西萍乡','江西萍乡市张家大屋农副产品批发市场','0','null'
'null','江西高安','江西高安市石脑农产品综合批发市场','0','null'
'null','江西鹰潭','江西鹰潭市农牧水产品综合批发市场','0','null'
"'117.982563888888888888888888888888888889,28.4606527777777777777777777777777777778'",'上饶农产品','江西上饶市赣东北农产品批发大市场','0','http://'
"'112.367277777777777777777777777777777778,32.5322444444444444444444444444444444445'",'河南新野','河南新野县蔬菜批发市场','0','http://www.xyshucai.com'
'null','许昌群发','河南许昌市襄城县群发蔬菜批发市场','0','null'
'null','河南商丘','河南商丘市蔬菜批发交易市场','0','null'
"'114.41,36.11'",'河南安阳','河南安阳豫北蔬菜批发市场','0','http://www.hnaysc.cn/'
