"'116.467202777777777777777777777777777778,39.8577888888888888888888888888888888889'",'北京大洋路','北京朝阳区大洋路综合市场','166','http://www.dylsc.com/'
'null','北京来广营','北京来广营乡蔬菜批发市场','94','http://'
"'116.228597,39.9303167'",'京锦绣大地','北京锦绣大地农副产品批发市场','0','http://www.gldadi.com/'
'null','曹安四平','上海曹安四平水产品批发市场','0','null'
'null','上海光彩','上海光彩土特产品交易中心','0','null'
"'121.55764,31.1666'",'上海农产品','上海农产品中心批发市场经营管理有限公司','0','http://www.shncp.com'
'null','上海商城','上海七宝商城农副产品综合交易市场','42','null'
"'117.24127,39.083058'",'天津何庄子','天津何庄子鲜活农产品中心批发市场','0','http://www.tjhzz.net/'
'null','津北方生猪','天津宝坻北方生猪批发交易市场','32','null'
'null','津海鲜水产','天津市津鱼海鲜水产交易市场','0','null'
'null','津何肉市场','天津市何庄子肉类禽蛋水产批发市场','0','null'
"'117.102883,39.08032'",'天津红旗','天津市红旗农贸综合批发市场有限公司','0','http://'
"'116.9525928477,39.0850944920'",'天津当城','天津碧城农产品批发市场','54','http://www.tj-dcsc.com'
'null','王顶堤水产','天津南开区王顶堤水产批发市场','67','null'
"'115.5004,38.8168527777777777777777777777777777778'",'河北保定','河北保定工农路蔬菜果品批发市场','0','http://'
"'112.5116,37.8106'",'晋太原河西','山西省太原市河西农产品有限公司','0','http://www.tyhx.com.cn/'
"'113.259408333333333333333333333333333333,40.0730944444444444444444444444444444444'",'晋大同振华','山西省大同市振华蔬菜批发市场有限责任公司','54','http://'
'null','晋太原晋祠','山西太原晋祠路农产品批发市场','31','null'
"'113.084378,36.20179'",'晋长治紫坊','山西省长治市紫坊农产品综合交易市场有限公司','0','http://'
'null','黑龙江鹤岗','黑龙江鹤岗市昌南蔬菜综合批发市场','76','null'
"'126.613522222222222222222222222222222222,45.67625'",'哈尔滨地利','哈尔滨地利农副产品有限公司','0','http://'
"'117.0620,36.69163'",'济南七里堡','济南七里堡市场有限公司','0','http://'
"'116.2725583,39.876841'",'岳各庄市场','北京京丰岳各庄农副产品批发市场','25','http://www.ygzapm.com/'
'null','浙衢州粮食','浙江衢州市粮食批发交易市场','85','null'
"'114.027955,22.976025'",'大京九农批','广东东莞市大京九农副产品中心批发市场','0','http://'
'null','陕蒲城祥塬','陕西省蒲城祥塬蔬菜瓜果批发市场','3','null'
"'113,34.76543'",'北京光彩馆','北京光彩馆蔬菜批发市场','0','</p></td><object data
"'112.824775,35.4901833333333333333333333333333333333'",'晋晋城绿欣','山西晋城绿欣农产品批发交易中心','0','http://'
"'113.5684,37.8606'",'晋阳泉菜果','阳泉蔬菜副食有限公司','53','http://www.yqlvlan.cn/'
"'111.683894444444444444444444444444444444,40.7986'",'东瓦窑市场','内蒙古呼和浩特市东瓦窑农副产品批发市场有限责任公司','23','http://'
"'109.824058,40.643630'",'包头市友谊','内蒙包头市友谊蔬菜批发市场','82','http://www.btyysc.com/'
'null','呼市惠东','内蒙呼市惠东农副产品批发市场','56','null'
'null','包头裕丰','内蒙包头裕丰粮油批发市场','0','null'
"'111.68063,40.76986'",'内蒙古美通','呼和浩特市美通首府无公害农产品批发市场','0','http://www.sqsm.com'
'null','呼市馨方园','内蒙呼市馨方园农副产品批发市场有限责任公司','27','null'
'null','满州里五兴','内蒙满州里五兴经贸有限责任公司出口','0','null'
'null','沈阳十二线','辽宁沈阳十二线蔬菜批发市场','0','null'
"'121.620,38.92499'",'大连双兴','大连双兴商品城有限公司','0','http://'
'null','沈阳张士','辽宁沈阳张士农副产品批发市场','31','null'
'null','沈阳南五','辽宁沈阳南五农副产品批发市场','0','null'
'null','沈阳水产品','辽宁沈阳水产品批发市场','0','null'
'null','沈阳南二','辽宁沈阳中国小食品城','0','null'
"'125.293494444444444444444444444444444444,43.9220861111111111111111111111111111111'",'长春蔬菜','长春蔬菜中心批发市场集团有限公司','0','http://'
'null','吉林延吉','吉林延吉新丰农副产品批发市场','0','null'
'null','吉林江山','吉林长春江山绿特优农产品储运批发市场','0','http://'
'null','吉林桦皮厂','吉林昌邑区桦皮厂镇农副产品批发市场','0','null'
